Time,X,Y
10125.199999999255,349,255
10141.299999998882,349,255
10158.699999999255,355,257
10173.89999999851,355,257
10191.199999999255,357,250
10207.199999999255,357,250
10225.299999998882,350,235
10241.799999998882,347,241
10258,347,241
10274.699999999255,347,241
10291.099999999627,352,217
10308.799999998882,366,203
10324.699999999255,366,203
10341.299999998882,366,203
10358.799999998882,354,197
10375.299999998882,357,191
10390.5,357,191
10407.699999999255,363,181
10424.599999999627,363,181
10440.5,363,181
10458.89999999851,372,174
10474.699999999255,372,174
10491.099999999627,380,153
10508.39999999851,384,146
10524.799999998882,384,146
10541.299999998882,384,146
10559.89999999851,400,130
10576.099999999627,400,130
10592,395,121
10607,395,121
10625,402,111
10641.39999999851,402,111
10658.699999999255,406,117
10675.199999999255,415,113
10691.299999998882,415,113
10707,415,113
10724.39999999851,427,107
10741.299999998882,427,107
10757.799999998882,431,118
10774,431,118
10792.299999998882,430,129
10808.599999999627,430,147
10824.699999999255,430,147
10840.599999999627,430,147
10858.89999999851,428,166
10874.699999999255,428,166
10891.099999999627,431,189
10908.099999999627,431,189
10924.5,433,197
10941.299999998882,433,197
10958.699999999255,425,205
10973.89999999851,425,205
10992.199999999255,436,180
11008,436,180
11025.699999999255,442,168
11041.5,442,168
11058.89999999851,473,121
11075.39999999851,486,103
11091.39999999851,486,103
11108.5,495,88
11123.799999998882,495,88
11141.199999999255,495,88
11157.89999999851,503,77
11174.799999998882,503,77
11191.199999999255,518,77
11208.099999999627,518,77
11224.39999999851,516,82
11241.299999998882,516,82
11257.89999999851,516,95
11275.599999999627,510,111
11291.299999998882,510,111
11308.599999999627,500,128
11324.699999999255,500,128
11341.299999998882,492,149
11357.099999999627,492,149
11373.699999999255,492,149
11391.299999998882,496,169
11408.099999999627,496,169
11425.39999999851,507,185
11441.39999999851,507,185
11457.89999999851,518,195
11475,518,195
11493.599999999627,565,127
11508.299999998882,533,196
11524.699999999255,533,196
11541.299999998882,533,196
11558.599999999627,538,191
11574.699999999255,538,191
11592.099999999627,579,125
11608,579,125
11625.299999998882,553,181
11641.39999999851,553,181
11659.099999999627,554,182
11674.699999999255,554,182
11691.099999999627,548,183
11708.199999999255,548,183
11725.299999998882,543,186
11741,543,186
11757.699999999255,535,193
11774.5,535,193
11792.199999999255,516,200
11808.199999999255,516,200
11825.39999999851,519,209
11840.5,519,209
11858,504,215
11874.699999999255,504,215
11891.89999999851,500,224
11907.89999999851,500,224
11925.39999999851,483,236
11940.39999999851,483,236
11958.599999999627,488,241
11973.89999999851,488,241
11991.89999999851,478,255
12007.89999999851,478,255
12025.39999999851,469,269
12040.599999999627,469,269
12058.799999998882,461,289
12073.89999999851,461,289
12092.099999999627,455,311
12108,455,311
12124.5,449,333
12140.39999999851,449,333
12158.799999998882,442,351
12174.699999999255,442,351
12191.199999999255,434,360
12207.699999999255,434,360
12225.299999998882,434,357
12241.199999999255,434,357
12258.89999999851,428,355
12274.599999999627,428,355
12291.099999999627,429,349
12308,429,349
12324.699999999255,427,343
12341.299999998882,427,343
12358.799999998882,422,333
12374.89999999851,422,333
12391.5,415,331
12409.799999998882,415,331
12424.199999999255,409,315
12441.299999998882,409,315
12457.799999998882,412,292
12474.799999998882,412,292
12492,400,284
12506.699999999255,400,284
12524.39999999851,402,257
12540.299999998882,402,257
12557.699999999255,397,245
12573.89999999851,397,245
12591.39999999851,380,239
12607.199999999255,380,239
12624.39999999851,388,227
12640.599999999627,388,227
12657.199999999255,371,231
12673.89999999851,371,231
12691.199999999255,376,213
12707.299999998882,376,213
12723.699999999255,374,210
12740.599999999627,374,210
12757.099999999627,373,207
12773.199999999255,373,207
12791.5,374,205
12807.199999999255,374,205
12824,360,216
12840.599999999627,360,216
12859,372,205
12875.299999998882,372,205
12891.699999999255,374,212
12908.5,374,212
12924.89999999851,373,222
12941.699999999255,373,222
12959.199999999255,364,237
12974.89999999851,364,237
12992.5,367,257
13007.299999998882,367,257
13025.39999999851,380,260
13041.39999999851,380,260
13058.699999999255,383,270
13074.89999999851,383,270
13091.89999999851,388,279
13107.39999999851,388,279
13125.5,389,281
13141.299999998882,389,281
13157.5,390,283
13174.5,390,283
13192.299999998882,393,289
13208,393,289
13225.299999998882,395,295
13241.39999999851,395,295
13258.699999999255,384,301
13274.599999999627,384,301
13292,387,283
13307.199999999255,387,283
13326.299999998882,385,283
13340.5,385,283
13357.799999998882,381,279
13374.699999999255,381,279
13392.299999998882,384,254
13407.599999999627,384,254
13425.299999998882,384,245
13441.39999999851,384,245
13459,383,240
13474.5,383,240
13491.199999999255,397,225
13507.099999999627,397,225
13524.5,396,221
13541.299999998882,396,221
13558.099999999627,387,235
13573.699999999255,387,235
13592.199999999255,399,223
13608,399,223
13625.39999999851,403,231
13641.299999998882,403,231
13659.099999999627,394,246
13674.699999999255,394,246
13692.199999999255,395,257
13708.099999999627,395,257
13725.299999998882,408,252
13741.299999998882,408,252
13758.599999999627,399,265
13774.699999999255,399,265
13792.099999999627,401,269
13808,401,269
13825.299999998882,411,265
13840.39999999851,411,265
13858,418,272
13874.799999998882,418,272
13892.099999999627,420,272
13908.099999999627,420,272
13925.599999999627,410,271
13941.39999999851,410,271
13958.599999999627,421,265
13974.699999999255,421,265
13992.199999999255,409,258
14007.89999999851,409,258
14025.099999999627,408,248
14041.299999998882,408,248
14058.89999999851,414,229
14074,414,229
14091.099999999627,407,229
14108,407,229
14125.39999999851,408,214
14141.39999999851,408,214
14158.299999998882,409,203
14174.799999998882,409,203
14192.199999999255,411,199
14207.89999999851,411,199
14225.299999998882,427,183
14243,427,183
14258.39999999851,416,187
14274.599999999627,416,187
14291.099999999627,417,191
14307.799999998882,417,191
14325.39999999851,431,186
14341.39999999851,431,186
14358.699999999255,435,195
14374.699999999255,435,195
14392.099999999627,438,200
14408,438,200
14425.39999999851,440,206
14441.299999998882,440,206
14458.799999998882,430,222
14473.799999998882,430,222
